Date and Start Time,Show Name,Description
2026-08-26 18:00,The Shards - S01E06 Homecoming (1),Troubled Debbie is galvanized by a new extracurricular.
2026-08-26 18:49,The Shards - S01E07 Homecoming (2),A surprising Homecoming King and Queen are crowned as the Trawler's killing spree continues.
2026-08-27 00:00,Star Trek: Strange New Worlds - S04E06 Off-Hour,The Enterprise falls into a slipstream that pushes them to a catastrophic warp threshold.
2026-08-30 13:30,The Traitors Ireland - S02E01 Episode 1,Siobhán McSweeney welcomes a group of strangers to Slane Castle to play the ultimate murder mystery game. Siobhán picks her Traitors but this time there's a twist
2026-08-30 18:00,Lanterns - S01E03 OutKast,
2026-08-31 00:00,Furious - S01E08 Hart Island,Alice and Catherine converge.
2026-08-31 13:30,The Traitors Ireland - S02E02 Episode 2,Siobhán McSweeney hosts as the ultimate game of backstabbing and mystery continues at Slane Castle
2026-08-31 19:00,It's Always Sunny in Philadelphia - S18E04 2026: A Virtual Insanity,"The Gang's RV breaks down en route to a Jamiroquai concert\, leaving them to fend for themselves in a dangerous wasteland of junkies and street people."
2026-09-01 02:30,The Traitors (AU) - S03E09 Episode 9,Fresh certainty amongst the players manufactures a manor-wide mystery and the mission brings a dangerous edge to the Round Table. But have the players gotten too confident?
2026-09-01 13:30,The Traitors Ireland - S02E03 Episode 3,"As the castle reels from another murder\, a torturous mission tests the players mentally and divide the Faithful. Another player is banished as accusations fly at the round table"
2026-09-01 18:00,Hard Knocks - S27E05 Training Camp with the Seattle Seahawks #5,
2026-09-02 00:00,Reacher - S04E06 Plum Out of Luck,"On the run from the police\, Reacher and Tamara leave town in search of the mysterious Ahlquist\, but they end up in trouble. Meanwhile\, in Philadelphia\, Jacob and Plum must face their own problems."
2026-09-02 18:00,The Shards - S01E08 Hamlet,"Something turns rotten in the state of California\, as two blackmail plots reveal two devastating secrets."
2026-09-03 00:00,Star Trek: Strange New Worlds - S04E07 Like Chronitons Through the Hourglass,A space trickster traps the Enterprise crew in a soap opera as Pike mourns a lost life.
2026-09-03 05:00,The Gentlemen - S02E01 TBA,
2026-09-03 05:00,The Gentlemen - S02E02 TBA,
2026-09-03 05:00,The Gentlemen - S02E03 TBA,
2026-09-03 05:00,The Gentlemen - S02E04 TBA,
2026-09-03 05:00,The Gentlemen - S02E05 TBA,
2026-09-03 05:00,The Gentlemen - S02E06 TBA,
2026-09-03 05:00,The Gentlemen - S02E07 TBA,
2026-09-03 05:00,The Gentlemen - S02E08 TBA,
2026-09-03 13:00,Taskmaster - S22E01 In My Mind There's a River,"Richard Ayoade\, Isy Suttie\, Matt Lucas\, Nina Conti & Chloe Petts leave their dignity at the door to take part in the comedy show\, beginning with challenges that see them hunting for golden apples\, rearranging furniture & performing duets - with themselves. Alex Horne keeps an eye on their progress\, while Greg Davies sums up their performances & hands out the points."
2026-09-06 18:00,Lanterns - S01E04 TBA,
2026-09-07 19:00,It's Always Sunny in Philadelphia - S18E05 The Gang Goes to the Ren Faire,"Mac\, Dennis\, and Dee strive to conquest their way onto the Quilt of Legends at the local Renaissance Faire. Charlie discovers a love of luting while Frank tries to acquire the faire from old foes."
2026-09-09 00:00,Reacher - S04E07 Vote for Sampson,"Reacher and Tamara finally get the answers they've been waiting for\, while Jacob discovers that their woes have just begun when Plum's sources provide crucial information."
2026-09-09 18:00,The Shards - S01E09 Stairway to Heaven,"With the city on lockdown\, Debbie hosts a Halloween party that will change everything."
2026-09-10 00:00,Star Trek: Strange New Worlds - S04E08 Orders of Magnitude,Enterprise is commandeered by Admiral Reeger to track down an alien ship.
2026-09-10 13:00,Taskmaster - S22E02 This Is Food Glue,"The contestants venture away from the Taskmaster house to a special location with an impressive building. Luckily\, Alex Horne has packed a tinned snack in case anyone feels hungry. Nina Conti empties a pram of its balls\, Matt Lucas demonstrates his lovely smile\, Chloe Petts finds Jesus in a slice of toast\, Richard Ayoade re-invents bouncing and Isy Suttie chats casually about her history of snogging."
2026-09-13 18:00,Lanterns - S01E05 TBA,
2026-09-14 17:00,The Emmy Awards - S01E78 The 78th Primetime Emmy Awards,
2026-09-14 19:00,It's Always Sunny in Philadelphia - S18E06 The War on Alcohol,"The Gang takes the trend against drinking into their own hands. Dennis\, Dee\, and Frank look to recruit white collar suits for happy hour while Mac and Charlie seek to enlist blue collar factory workers so they can return the bar to the melting pot it once was."
2026-09-15 21:00,Slow Horses - S06E01 Circle of Life,
2026-09-16 00:00,Reacher - S04E08 Cut,"Reacher\, Tamara and Jacob go on the attack as the real extent of the plot emerges. Reacher confronts those responsible for Anna's death\, Jacob is forced to face the truth\, and Plum has a chance to redeem herself."
2026-09-16 19:00,South Park - S29E01 TBA,
2026-09-17 00:00,Star Trek: Strange New Worlds - S04E09 Once La'An a Time,"We return to the Elysian Kingdom\, but this time on a real fantasy planet."
2026-09-17 13:00,Taskmaster - S22E03 TBA,
2026-09-18 00:00,MobLand - S02E01 TBA,TBA
2026-09-20 18:00,Lanterns - S01E06 TBA,
2026-09-21 19:00,It's Always Sunny in Philadelphia - S18E07 Episode 7,
2026-09-22 21:00,Slow Horses - S06E02 Daddy Issues,
2026-09-24 00:00,Star Trek: Strange New Worlds - S04E10 Tomorrow's Enterprise,"A time ripple damages the Enterprise\, forcing young and old Uhura to cooperate and fix the timeline."
